"name";"answer";"questions";"rcounts"

Cтуденческий офис;Здравствуйте, Вам нужно подойти в ТОГУ ауд. 245 л. с паспортом, мы работаем с 8:30 до 17:30 обед: с 12:30 до 13:30 понедельник-пятница. ;**Первый запрос:**=====Подскажите, пожалуйста, куда мне прийти и в какое время, чтобы забрать вкладыш диплома (бакалавра) для поступления в магистратуру?=====**Второй запрос:**=====Подскажите, куда прийти, чтобы забрать документы в связи с отчислением? Я была отчислена в 2019 году. =====**Ответы на эти запросы будут примерно одинаковыми:**=====Для получения информации о том, как и где можно забрать документы, вам стоит обратиться в деканат или в справочную службу учебного заведения, которое вы указывали в дипломе. Возможно, вы также сможете получить эту информацию на сайте учебного заведения.=====Вам необходимо будет иметь при себе документ, удостоверяющий вашу личность (паспорт), а также, возможно, другие документы, подтверждающие ваше обучение в этом заведении.;2
Cтуденческий офис;Здравствуйте, ответила на почту;Я, Семёнова или Ефименко, относилась к детям-сиротам. Училась в период с 2021 г. по 2023 г., отчислена 12.09.2023 в связи с переходом в другой вуз.=====Прошу предоставить справки:* о получении академической стипендии;* о выполнении учебного плана 2022–2023 годов и отсутствии задолженностей.=====Предоставить академическую справку:* с перечнем дисциплин и оценками за период обучения с 1.09.2021 по 29.06.2023,* для Виталины Ефименко 35.03.01 «Лесное дело», группа ЛХ (б) -11,* на электронную почту vitalina.yefimenko02@mail.ru.;2
Cтуденческий офис;Здравствуйте, переводы в ТОГУ осуществляются в периоды установленные локальными нормативными актами университета: август-сентябрь (до 10 сентября) и январь-февраль (до 10 февраля). В эти периоды времени вы можете подать документы лично (ауд. 245л.), по электронной почте  tsdk@pnu.edu.ru либо прислать почтой России  1. Заявление установленной формы (скачать на сайте ТОГУ)https://pnu.edu.ru/ru/students/perevod/  2. Копия аттестата  3. Копия паспорта (со страницей прописка)  4. Копия лицензии ВУЗа  5. Копия свидетельства об аккредитации (с приложениями, где указана ваша специальность)  6. Справка об обучении  Все копии документов, кроме копии паспорта должны быть заверены ВУЗом.  Факультет ТОГУ рассматривает документы 14 дней, после дает вам заключение аттестационной комиссии. Если условия перевода вам подходят начинаем обрабатывать документы, готовим для вас справки и тд.    Наличие вакантных бюджетных мест вы можете посмотреть здесь https://pnu.edu.ru/ru/students/budget-places/list/ ;Интересует перевод из ДВФУ?Подскажите, как перевестись по программе «Машиностроение» с 1 курса в другой вуз? Интересуюсь переводом с 2 курса в ТГОГУ на специальность «Педагогическое образование, биохимия».Подскажите, когда начинается приём документов? Я иностранный студент ДВГУПС по направлению «Электроэнергетика и электротехника», интересуюсь переводом в ваш вуз на специальности «Журналистика» или «Экономика», возможно ли это?;3
Cтуденческий офис;Здравствуйте, переводы в ТОГУ осуществляются в периоды установленные локальными нормативными актами университета: август-сентябрь (до 10 сентября) и январь-февраль (до 10 февраля). В эти периоды времени вы можете подать документы лично (ауд. 245л.), по электронной почте  tsdk@pnu.edu.ru либо прислать почтой России  1. Заявление установленной формы (скачать на сайте ТОГУ)https://pnu.edu.ru/ru/students/perevod/  2. Копия аттестата  3. Копия паспорта (со страницей прописка)  4. Копия лицензии ВУЗа  5. Копия свидетельства об аккредитации (с приложениями, где указана ваша специальность)  6. Справка об обучении  Для иностранных граждан дополнительно: 1. Копия действующего паспорта. 2. Копия визы. 3. Копия действующей регистрации. 4. Копия миграционной карты. 5. Копия РВП (при наличии).  6. Копия вида на жительство (при наличии).  (Документы на иностранном языке должны бить оформлены нотариальным переводом)  Все копии документов, кроме копии паспорта должны быть заверены ВУЗом.  Факультет ТОГУ рассматривает документы 14 дней, после дает вам заключение аттестационной комиссии. Если условия перевода вам подходят начинаем обрабатывать документы, готовим для вас справки и тд.    Наличие вакантных бюджетных мест вы можете посмотреть здесь https://pnu.edu.ru/ru/students/budget-places/list/ ;Здравствуйте! Меня зовут Анна Чумаченко. Интересует возможность перевода на заочную форму обучения по направлению «Лингвистика. Перевод и переводоведение» с изучением английского языка.; 44.03.05 Педагогическое образование (с двумя профилями подготовки) Русский язык. Литература. 44.03.05 Педагогическое образование (с двумя профилями подготовки). Русский язык и литература. Мировая художественная культура 44.03.05 Педагогическое образование (с двумя профилями подготовки). Физическая культура. Безопасность жизнедеятельности. 44.03.05 Педагогическое образование (с двумя профилями подготовки). Начальное образование. Дополнительное образование 44.03.02 Психолого-педагогическое образование. Специальная психология 44.03.02 Психолого-педагогическое образование. Психология образования 43.03.02 Туризм. Технология и организация туроператорами и турагентских услуг. В приоритете лингвистика. О себе: в июне этого года на 5 курсе была отчислена за академические задолженности из филиала ДВФУ в г. Уссурийск перед защитой диплома, восстановлена в ДВФУ (о. Русский) в ноябре на 3 курс. Срок на восстановление до 30.12.2023, в противном случае меня отчислят. Очень хочу закончить обучение по любому из перечисленных направлений, желательно продолжить обучение с 3-5 курса, если есть такая возможность. Заранее благодарю за ответ.=====Здравствуйте!  Подскажи пожалуйста, можно ли перевестись в ТОГУ на факультет журналистики из Дальневосточного Федерального Университета? На договорной основе.  Что для этого будет нужно, при условии, что в предыдущем ВУЗе, есть академические задолженности? Сколько это займет времени?=====Здравствуйте , подскажите пожалуйста. В какой период в 2023 г. можно подать заявление на восстановление по заочной форме обучения? Спасибо.";3
Cтуденческий офис;Здравствуйте, переводы в ТОГУ осуществляются в периоды установленные локальными нормативными актами университета: август-сентябрь и январь-февраль. В эти периоды времени вы можете подать документы лично (ауд. 245л.), по электронной почте  tsdk@pnu.edu.ru либо прислать почтой России  1. Заявление установленной формы (скачать на сайте ТОГУ)https://pnu.edu.ru/ru/students/perevod/  2. Копия аттестата  3. Копия паспорта (со страницей прописка)  4. Копия лицензии ВУЗа  5. Копия свидетельства об аккредитации (с приложениями, где указана ваша специальность)  6. Справка об обучении  Все копии документов, кроме копии паспорта должны быть заверены ВУЗом.  Факультет ТОГУ рассматривает документы 14 дней, после дает вам заключение аттестационной комиссии. Если условия перевода вам подходят начинаем обрабатывать документы, готовим для вас справки и тд.    Наличие вакантных бюджетных мест вы можете посмотреть здесь https://pnu.edu.ru/ru/students/budget-places/list/ ;**Здравствуйте!**=====Я учусь на 3-м курсе педагогического университета и интересуюсь переводом на заочное обучение.=====Подскажите, возможен ли **перевод** в ваш университет на **заочное отделение** специальности «Филология»?=====Учусь в другом университете, но планирую переехать. Как осуществить перевод в ТОГУ? **Где писать заявление?** Какие документы нужны? Есть ли бюджетные места? **Можно ли перевестись с бюджетной основы?**=====Также интересуюсь, как перевестись после сессии в другом учебном заведении. **Какие документы нужны?** Как узнать о наличии бюджетных мест?;3
Cтуденческий офис;Здравствуйте, переводы и восстановления осуществляются в ТОГУ в соответствии с ЛНА университета, в срок с 01 августа до 10 сентября или с 10 января по 10 февраля , вам необходимо заполнить заявление на восстановление и прислать его на почту tsdk@pnu.edu.ru  бланк заявления можно скачать тут https://pnu.edu.ru/ru/students/perevod/;Можно ли восстановиться и перевестись без личного присутствия?=====С 1.09.2017 по 16.09.2022 обучался в ПИТОГУ по педагогическому образованию с двумя профилями (математика и информатика). Был отчислен по собственному желанию в 2022 г. Сейчас нахожусь в другом городе и хочу восстановиться и перевестись.=====  * Можно ли восстановиться без личного присутствия?    Можно ли перевестись — уточните, пожалуйста.=====* Нужно ли будет закрывать академическую разницу? =====Подскажите, пожалуйста, нужно ли будет ликвидировать академическую задолженность, если я восстановлюсь?===== Как восстановиться на заочное обучение?=====Как восстановиться по направлению «Горное дело» на заочную форму обучения?;3
Cтуденческий офис;;Закончила обучение в феврале 2022 года. Не могу получить диплом.Помогите, пожалуйста, найти диплом на сайте.Мне необходима справка о первом высшем образовании. Как её получить?Как оплатить последний семестр учёбы в рассрочку? Могу ли я это сделать? К кому обратиться?=====**Уточнение 1**=====Не могу найти данные о дипломе и своём дипломе на указанном сайте. Мои данные: СНИЛС — 102-540-137. Диплом — КЗ 08909, выдан 28 сентября 2013 года.**Уточнение 2**=====24 марта 2023 года отправила запрос на выдачу диплома. Прошу сообщить трек-номер для отслеживания заявления.=====**Запрос 1** =====Могу ли я получить копию диплома?**Ответ 1**  =====Вам направлено заявление на выдачу диплома 24 марта. Трек-номер для отслеживания: ...**Запрос 2** =====Как получить справку о том, что я учусь на первом курсе?**Ответ 2**  =====Вы можете отслеживать статус запроса на получение диплома на указанном ресурсе.**Запрос 3** =====Есть ли возможность оплатить учёбу в рассрочку?  **Ответ 3**  =====За информацией о рассрочке обратитесь к ответственным лицам вашего учебного заведения.;6
Архив;Валерия Владимировна, добрый день! Ваше обращение взято в работу;Здравствуйте!=====Прошу Вас выслать справку об обучении по направлению «Стандартизация и метрология» с присвоением степени магистра по диплому № 102724 4706790 (приложение к диплому с регистрационным номером 47 от 14.02.2020) на электронную почту или по адресу: 623414, Свердловская область, Каменск-Уральский, ул. Лермонтова, 123, кв. 69, Юдиной Валерии Владимировне.=====Дата рождения: 16.11.1986.;2
Архив;Дмитрий Александрович, добрый день! Ваше обращение взято в работу;Я могу предложить такой вариант сокращения и обезличивания данного текста:====="С 2004 по 2009 год учился по специальности «специалист по социальной работе», факультет «Институт психологии и управления», очная форма. Прошу подтвердить получение диплома. Сообщите о готовности справки и предоставьте возможность забрать её лично."====="Отправляю запрос на справку о периоде обучения: отчислен со второго курса приказом №02-12/178 от 16.03.2022. Оригинал справки отправьте по адресу: г. Долинск, Сахалинская обл., ул. Комсомольская, 22–29, Ли Дмитрий Александрович, паспорт 6420 025787, индекс 694051, получатель. Почту отправьте самым быстрым способом.";2
