"name";"answer";"questions";"rcounts"
Техническая поддержка Библиотека;Добрый день, книги продлены на весенний семестр.;Здравствуйте!=====Не могу сдать книги на дистанте, продлите, пожалуйста. Книги в сохранности. Спасибо. До свидания.=====Баннова Ульяна, IP-адрес: 164.138.88.178.=====Здравствуйте! У меня задолженность в библиотеке, но моя группа учится дистанционно. Книги не могу сдать из-за переезда. Семестр будет очным, книги сдам. Прошу разобраться с задолженностью. С уважением.;5 Техническая поддержка Библиотека;Здравствуйте, билет разблокирован.;Добрый день!=====Мой читательский билет библиотеки ТОГУ заблокирован. Сейчас я учусь в [учёная степень], мне нужно разблокировать читательский билет. Библиотека сообщает, что это можете сделать только вы через [название системы].=====IP-адрес: 87.225.66.200 или 80.83.234.62.;2
"4. Техническая поддержка (support@pnu.edu.ru)";select * from student_card sc  join public.group g on g.id = sc.group_id  where sc.person_id = '77905';Студент Ван Владимир Евгеньевич, группа РУ(аб)з-61. При регистрации на портале ТОГУ требуется код. С портала нет доступа. Скрин прилагаю. Замдиректора Кулик И. В., секретарь Е. К. Цнобиладзе.=====**Примечание:** данный текст может потребовать дополнительной обработки для соответствия политике конфиденциальности и авторскому праву.;2
"4. Техническая поддержка (support@pnu.edu.ru)";"Браузерная версия для смартфона может работать некорректно, попробуйте использовать приложение gmail для смартфона (доступно для android (обычно установлено по умолчанию) и ios в app.store) или воспользоваться браузерной версией на компьютере. Перейти в браузерную версию почты на компьютере можно нажав на иконку почты в верхней части портала ТОГУ. Для добавления почты в приложении нужно нажать иконку профиля в правом верхнем углу, после чего ""Добавить аккаунт"", в появившемся окне набрать адрес электронной почты ""2021100584@pnu.edu.ru"" без кавычек. После чего вы будете перенаправлены на страницу входа в портал ТОГУ где необходимо ввести свои данные для входа. После выполнения этих действий аккаунт будет добавлен в приложение. Вы сможете отправлять почту и пользоваться поиском преподавателя по ФИО.";У меня неисправно работает почта.=====Не могу найти преподавателя.=====IP-адрес: 80.83.234.223, 80.83.239.91.;2
"4. Техническая поддержка (support@pnu.edu.ru)";Были обновления операционной системы;Добрый день! Коллеги, возникли проблемы с подключением к Логике ЕСМ ТОГУ (коммутатору, принятие решений, поручения).=====С уважением, Медведева Галина Геннадьевна, проректор, учёный секретарь ученого совета ТОГУ.=====Добрый день!=====http://10.10.12.112/referent/br_switch.nsf=====http://br.pnu.edu.ru/=====Через Lotus=====С уважением, Гусляков Виктор Владимирович, начальник отдела сопровождения административных процессов ТОГУ.;4
"4. Техническая поддержка (support@pnu.edu.ru)";В базе нет сведений о том что Вы являетесь преподавателем;На рабочем столе в личном кабинете исчезло расписание. Не могу зайти в электронный журнал и поставить оценки. IP-адрес: 10.10.100.114.=====Не имею возможности проставить оценки обучающимся. IP-адрес: 10.10.100.114;2
"4. Техническая поддержка (support@pnu.edu.ru)";В вашем личном кабинете раздел будет доступен через 15 минут.;Здравствуйте! Прошу подключить меня к удалённому доступу для сдачи табелей, создания ведомостей и справок для студентов. Меня зовут Вергель Надежда Фёдоровна, я ведущий документовед деканата факультета искусств, рекламы и дизайна.=====Здравствуйте! Также прошу восстановить доступ к системе заполнения табеля. К вам обращается зав. лаборатории кафедры БЭХ, Стукова Ольга Юрьевна.=====**Примечание:** данный текст может потребовать ещё большей обработки. Прежде чем использовать его в финальном варианте, уточните у заказчика, все ли изменения корректны.;40
"4. Техническая поддержка (support@pnu.edu.ru)";в данный момент проводятся технические работы, повторите попытку через час;Добрый день, нужно подтвердить обучение в ТОГУ?=====Здравствуйте, не получается оформить скидку на обучение? Не появляется заявление? IP-адрес: 213.221.12.250;2
"4. Техническая поддержка (support@pnu.edu.ru)";В настоящее время у Вас нет активных учетных карточек ППС. Возможно истечение срока контракта. Права восстановятся как только будет обработан приказ о приеме на работу, на должность ППС.;Здравствуйте! Почему пропал раздел «Журнал преподавателя»?  IP-адрес: 5.8.206.135 =====Здравствуйте! Подскажите, почему пропал журнал преподавателя?  IP-адресс: 46.174.105.205 =====Добрый день!  Пропал журнал преподавателя, не могу закончить работу. IP-адресc: 62.249.146.123 =====Я преподаватель кафедры правоведения, моя фамилия Радионова, Ольга Александровна.  В моём личном кабинете пропал журнал преподавателя. Пожалуйста, помогите решить эту проблему.  IP-адресс:;4
"4. Техническая поддержка (support@pnu.edu.ru)";"В оценках за сессию, есть 2 вкладки: Обучается и Переведен. Ваши оценки находятся во вкладке ""Обучается"".  Если оценок нет, пришлите скриншоты обеих вкладок.";Здравствуйте, у вас пропали оценки за второй семестр?=====У меня пропала оценка за второй семестр. Звонила в деканат — предметы все стоят. Ошибка в личном кабинете.=====IP-адрес: 185.3.180.246.;2
"4. Техническая поддержка (support@pnu.edu.ru)";В скором времени все курсы будут добавлены;Здравствуйте! У меня отображаются не все курсы в личном кабинете. Меня зовут Галкина Ксения, IP-адрес: 85.26.241.125.=====**Важно!** Перед отправкой обращения проверьте адрес своей электронной почты, он может содержать конфиденциальную информацию, которую лучше не публиковать публично.;2
